user	dep
D4Audit.counterexample_discrete_c_half	Poincare.Longrun.Evolution.squareField
D4Audit.counterexample_negative_step	Poincare.Longrun.CurvatureODE.ReactionField.eval
D4Audit.counterexample_negative_step	Poincare.Longrun.CurvatureODE.eulerStep
D4Audit.counterexample_negative_step	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.counterexample_negative_step	Poincare.Longrun.Evolution.perelmanF
D4Audit.counterexample_negative_step	Poincare.Longrun.Evolution.squareField
D4Audit.counterexample_negative_step	Poincare.Longrun.Evolution.squareField_eval
D4Audit.dissipation_sanity	Poincare.Longrun.CurvatureODE.ReactionField.eval
D4Audit.dissipation_sanity	Poincare.Longrun.Evolution.hasDerivAt_perelmanF
D4Audit.dissipation_sanity	Poincare.Longrun.Evolution.perelmanF
D4Audit.dissipation_sanity	Poincare.Longrun.Evolution.unitGlobalFlow
D4Audit.dissipation_sanity	Poincare.Longrun.Evolution.unitReactionField
D4Audit.dissipation_sanity	Poincare.Longrun.Evolution.unitReactionField_eval
D4Audit.finiteMeshConvergence_nonvacuous	Poincare.Longrun.Evolution.FiniteMeshConvergence
D4Audit.gibbsTerm_half_one_lt_two	D4Audit.three_exp_neg_one_lt_nine_exp_neg_two
D4Audit.gibbsTerm_half_one_lt_two	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.gibbsTerm_one_values	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.gibbsTerm_step_lt_of_one_le	D4Audit.gibbsTerm_strictAnti_of_one_le
D4Audit.gibbsTerm_step_lt_of_one_le	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.gibbsTerm_strictAnti_of_one_le	D4Audit.gibbsTerm_strictAnti_of_one_le._simp_1_1
D4Audit.gibbsTerm_strictAnti_of_one_le	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.gibbsTerm_strictAnti_of_one_le	Poincare.Longrun.Evolution.gibbsTerm_hasDerivAt
D4Audit.gibbsTerm_strictAnti_of_one_le	Poincare.Longrun.Evolution.gibbsTerm_strictAnti
D4Audit.limit_passage_sanity	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.limit_passage_sanity	Poincare.Longrun.Evolution.gibbsTerm_antitone
D4Audit.limit_passage_sanity	Poincare.Longrun.Evolution.perelmanF
D4Audit.limit_passage_sanity	Poincare.Longrun.Evolution.perelmanF_limit_le_of_discrete
D4Audit.negReaction.eq_1	D4Audit.negReaction
D4Audit.negTrajCont.eq_1	D4Audit.negTrajCont
D4Audit.negTrajCont_hasDeriv	D4Audit.negTrajCont
D4Audit.negTrajDisc.eq_1	D4Audit.negTrajDisc
D4Audit.negTrajDisc_step	D4Audit.negReaction
D4Audit.negTrajDisc_step	D4Audit.negTrajDisc
D4Audit.negative_reaction_continuous_counterexample	D4Audit.gibbsTerm_one_values
D4Audit.negative_reaction_continuous_counterexample	D4Audit.negTrajCont
D4Audit.negative_reaction_continuous_counterexample	D4Audit.two_exp_neg_one_lt_one
D4Audit.negative_reaction_continuous_counterexample	Poincare.Longrun.Evolution.gibbsTerm
D4Audit.negative_reaction_continuous_counterexample	Poincare.Longrun.Evolution.perelmanF
D4Audit.noSignEvolution_neg	D4Audit.NoSignEvolution
D4Audit.noSignEvolution_neg	D4Audit.NoSignEvolution.mk
D4Audit.noSignEvolution_neg	D4Audit.negReaction
D4Audit.noSignEvolution_neg	D4Audit.negTrajCont
D4Audit.noSignEvolution_neg	D4Audit.negTrajCont_hasDeriv
D4Audit.no_sign_continuous_monotonicity_false	D4Audit.NoSignEvolution
D4Audit.no_sign_continuous_monotonicity_false	D4Audit.negReaction
D4Audit.no_sign_continuous_monotonicity_false	D4Audit.negTrajCont
