L2SUM	partition	G2
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.Jet
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.ConjugateHeatData.IsHeatJet
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.ConjugateHeatData.IsConjugateHeatJet
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.MetricFlowInterface.pairing
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.ConjugateHeatData.toMetricFlowInterface
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.ConjugateHeatData.forwardHeat
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.ConjugateHeatData.backwardHeat
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.MetricFlowInterface.volumeVariation
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.MetricFlowInterface.boundaryForm
L2DEP	Poincare.D7.ConjugateHeat.ConjugateHeatData.volumeVariation_eq_boundaryForm_of_heat_and_conjugate	Poincare.D7.ConjugateHeat.ConjugateHeatData.formal_adjoint
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.GradientCertificate
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.BochnerCertificate.ricciContraction
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.GradientCertificate.B
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.GradientCertificate.laplacianGradNormSq
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.hessNormSq
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.BochnerCertificate.dim
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.BochnerCertificate.hess
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.GradientCertificate
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.BochnerCertificate.ricciContraction
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.GradientCertificate.B
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.GradientCertificate.laplacianGradNormSq
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.hessNormSq
L2DEP	Poincare.D7.Bochner.GradientCertificate.gradient_estimate_eq_of_ricci_zero	Poincare.D7.Bochner.BochnerCertificate.dim
