MorganTianLib/Ch01/ComparisonMinimizing.lean:309:0:'MorganTianLib.ricci_curvature_comparison_radial_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/CovariantTensorExpansion.lean:169:0:'MorganTianLib.covariantTensor4At_sum₄' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ExpJacobiDensity.lean:298:0:'MorganTianLib.frameRead_eq_smul_jacobi' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ExpJacobiDensity.lean:299:0:'MorganTianLib.expRiemannianJacobian_polarDensity_of_not_conjugate' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ExpJacobiDensity.lean:300:0:'MorganTianLib.expRiemannianJacobian_polarDensity_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ExpMinimizingLocalDiffeo.lean:124:0:'MorganTianLib.expMapGlobal_localDiffeo_of_minimizing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/ExpRiemannianJacobianContinuous.lean:129:0:'MorganTianLib.continuous_expRiemannianJacobian' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameCurvSmooth.lean:431:0:'MorganTianLib.contDiffOn_firstOrderLinearODE' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameCurvSmooth.lean:432:0:'MorganTianLib.contDiffOn_chartVectorRep_of_isParallelAlongOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameCurvSmooth.lean:433:0:'MorganTianLib.contDiffOn_frameCurv' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameCurvSmooth.lean:434:0:'MorganTianLib.contDiffOn_frameCurvOp' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameCurvSmooth.lean:435:0:'MorganTianLib.contDiffOn_frameCurvOp_Icc' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameIndexSeam.lean:134:0:'MorganTianLib.chartIndexIntegrand_eq_indexIntegrand_frameVec' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameIndexSeam.lean:135:0:'MorganTianLib.chartIndexIntegrand_eq_indexIntegrand_frameVec_of_isJacobiFieldAlongOn' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameLiftCovDeriv.lean:205:0:'MorganTianLib.chartVectorRep_frameLift_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameLiftCovDeriv.lean:206:0:'MorganTianLib.covariantDerivCoord_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameLiftCovDeriv.lean:207:0:'MorganTianLib.covariantDerivCoord_sum_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/FrameLiftCovDeriv.lean:208:0:'MorganTianLib.covariantDerivCoord_chartVectorRep_frameLift' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicPolarForm.lean:544:0:'MorganTianLib.mfderiv_globalGeodesic_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicPolarForm.lean:545:0:'MorganTianLib.expDifferential_gauss' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicPolarForm.lean:546:0:'MorganTianLib.expDifferential_gauss_radial_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicPolarForm.lean:547:0:'MorganTianLib.expDifferential_gauss_radial_pairing_fixed_chart' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicPolarForm.lean:548:0:'MorganTianLib.expMapGlobal_pullbackInner_radial_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
MorganTianLib/Ch01/GeodesicSpeed.lean:336:0:'MorganTianLib.isGeodesicOn_metricInner_velocity_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
