OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: nablaField_grad_hessian -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: fieldInner_eField -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: nablaField_eField -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: nablaField_grad_coeff -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: sum_gammaX_quad -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: D_gradSq -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: fieldLaplacian -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: curvatureForm_as_gamma -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: ricciForm_eq_sum_gamma -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: ricciContraction -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: gradLapField -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: bochner_metric_half -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: gamma_self -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: D_second_comm_diag -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: H_expand -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: D_H_expand -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: nablaField_nablaField_grad_H -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: nablaField_nabla_grad_H -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: K -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: K_antisym -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: D_comm_u -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: double_sum_distrib -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: w_du_coeff_fixed_j -> ['Classical.choice', 'Quot.sound', 'propext']
OK   Poincare/D12/TensorMaximumBochner/BochnerIdentity.lean :: w_du_pair_fixed_j -> ['Classical.choice', 'Quot.sound', 'propext']
